Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2017-08-10,12292,12664,12118,12588
2017-08-09,12560,12656,11918,12287
2017-08-08,12260,12696,12215,12554
2017-08-07,11872,12453,11598,12257
2017-08-04,10032,10459,9984.7,10287
2017-08-03,9680.67,10081,9654.06,10031
2017-08-02,9817.8,9948.98,9626.92,9672.91
2017-08-01,10315,10527,9611.67,9814.93
2017-07-31,9920.51,10432,9818.87,10327
2017-07-28,9735.69,10282,9703.33,10030
2017-07-27,8978.39,9756.18,8969.25,9728.41
2017-07-26,9486.67,9645.21,8898.1,8981.5
2017-07-25,10150,10257,9097.79,9496.39
2017-07-24,10184,10258,9910.55,10152
2017-07-21,10000,10680,9654.24,9692.98
2017-07-20,8371.13,10084,8321.89,9993.54
2017-07-19,8636.91,8811.83,8247.43,8388.45
2017-07-18,7974.84,8751.88,7927.95,8637.01
2017-07-17,7059.8,8052.56,7021.41,7985.17
2017-07-14,8741.57,8804.66,8070.34,8138.35
2017-07-13,8926.58,9058.64,8656.92,8732.74
2017-07-12,8727.81,9021.04,8389.68,8927.4
2017-07-11,8838.52,9037.71,8534.92,8718.23
2017-07-10,9499.39,9500.59,8805.16,8824.14
2017-07-07,9715.67,9748.42,9336.69,9450.48
2017-07-06,9814.06,9868.34,9646.88,9710.67
2017-07-05,9732.46,9863.56,9552.62,9813.11
2017-07-04,9727.38,9942.59,9642.35,9730.59
2017-07-03,9384.45,9760.27,9288.83,9728.45
2017-06-30,9580.88,9587.51,9336.28,9433.3
2017-06-29,9724.11,9731.54,9424.45,9578.92
2017-06-28,9262.75,9739.6,9259.57,9731.86
2017-06-27,9316.56,9504.17,8725.65,9263.95
2017-06-26,9709.05,9936.55,8995.41,9319.84
2017-06-23,10390,10557,10305,10433
2017-06-22,10279,10511,10072,10384
2017-06-21,10692,10793,10240,10288
2017-06-20,9934.5,10760,9928.38,10691
2017-06-19,9596.22,9965.61,9531.44,9920.14
2017-06-16,9236.84,9602.43,8975.27,9602.04
2017-06-15,9349.43,9551.97,8300.61,9230.45
2017-06-14,10217,10578,9276.97,9322.87
2017-06-13,10104,10482,9858.54,10224
2017-06-12,11179,11363,9490.3,10083
2017-06-09,10496,10753,10448,10666
2017-06-08,10046,10527,9818.58,10493
2017-06-07,10816,10880,10056,10093
2017-06-06,9982.46,11060,9980.02,10809
2017-06-05,9399.62,10096,9367.86,9982.67
2017-06-02,9113.85,9276.42,8979.51,9050.04
2017-06-01,8573.97,9290.49,8559.64,9116.31
2017-05-31,8304.72,8748.71,8042.2,8581.77
2017-05-30,8721.48,8762.33,8280.5,8299.69
2017-05-29,8186.58,8760.53,7997.33,8712.49
2017-05-26,9653.97,9835.01,7742.81,8512.5
2017-05-25,9310.28,10381,8761.29,9627.74
2017-05-24,8553.38,9442.48,8536.82,9316.82
2017-05-23,8123.08,8600.98,7701.81,8547.39
2017-05-22,7624.26,8552.91,7620.55,8122.01
2017-05-19,7135.53,7372.51,7131.29,7230.52
2017-05-18,6687.22,7143.49,6680.08,7135.47
2017-05-17,6454.39,6840.91,6347.19,6683.02
2017-05-16,6503.91,6566.17,6320.59,6455.48
2017-05-15,6808.84,6835.7,6322.19,6494.48
2017-05-12,7019.34,7038.22,6346.18,6424.28
2017-05-11,6753.49,7133.54,6703.45,7018.22
2017-05-10,6612.69,6846.28,6563.73,6754.44
2017-05-09,6245.16,6831.39,6232.26,6609.21
2017-05-08,5902.93,6283.28,5902.93,6246.21
2017-05-05,5794.52,6128.94,5709.65,5752.52
2017-05-04,5706.97,6142.75,5556.85,5796.6
2017-05-03,5478.5,5774.62,5472.85,5708.31
2017-05-02,5503.62,5657.43,5406.85,5481.56
2017-04-28,5165.74,5220.48,4948.36,5023.57
2017-04-27,4996.39,5185.45,4968.62,5161.92
2017-04-26,4877.54,5081.11,4873.96,4996.71
2017-04-25,4878.7,4912.21,4853.79,4878.17
2017-04-24,4851.24,4899.17,4829.86,4879.4
2017-04-21,4971.8,5094.95,4969.11,4989.21
2017-04-20,4854.38,5021.93,4846.09,4971.79
2017-04-19,4794.21,4868.75,4773.58,4856.08
2017-04-18,4788.3,4856.65,4782.81,4795.33
2017-04-17,4739.87,4818.01,4714.69,4786.41
2017-04-14,4714.86,4784.93,4669.75,4738.77
2017-04-13,4847.89,4867,4616.12,4713.92
2017-04-12,4925.35,4927,4832.91,4845.38
2017-04-11,4816.64,4931.12,4811.96,4922.14
2017-04-10,4831.88,4879.06,4802.66,4816.34
2017-04-07,4766.29,4784.62,4676.74,4781.5
2017-04-06,4469.81,4784.3,4449.28,4765.39
2017-04-05,4534.64,4557.98,4427.98,4469.08
2017-04-04,4578.92,4644.54,4488.1,4535.87
2017-04-03,4371.49,4585.66,4353.34,4579.2
2017-03-31,4083.26,4311.27,4057.17,4270.46
2017-03-30,4099.53,4132.9,4018.96,4082.05
2017-03-29,4060.83,4156.13,3959.65,4098.84
2017-03-28,4046.47,4167.11,3989.12,4060.43
2017-03-27,3741.9,4039.57,3733.55,4039.51
2017-03-24,4052.24,4087.13,3795.52,3795.52
2017-03-23,4065.88,4172.42,4034.06,4056.35
2017-03-22,4412.34,4414.16,3918.84,4055.44
2017-03-21,4141.64,4427.15,4112.99,4412.06
2017-03-20,4138.68,4190.12,4033.42,4142.07
2017-03-17,4698.61,4744.78,4371.03,4429.36
2017-03-16,5060.54,5067.17,4530.41,4696.41
2017-03-15,5071.46,5121.75,5019.61,5059.96
2017-03-14,5054.96,5114.15,4997,5071.46
